   0  &  266  &    0,0  \\ 
  90  &  248  &    0,4  \\ 
 180  &  234  &    1,7  \\ 
 270  &  225  &    3,8  \\ 
 360  &  221  &    6,8  \\ 
 450  &  225  &   10,6  \\ 
 540  &  234  &   15,2  \\ 
 630  &  246  &   20,7  \\ 
 720  &  258  &   27,0  \\ 
 810  &  273  &   34,2  \\ 
 900  &  289  &   42,2  \\ 
 990  &  304  &   51,1  \\ 
1080  &  322  &   60,8  \\ 
1170  &  338  &   71,4  \\ 
1260  &  356  &   82,8  \\ 
1350  &  373  &   95,0  \\ 
1440  &  388  &  108,1  \\ 
1530  &  396  &  122,0  \\ 
1620  &  395  &  136,8  \\ 
1656  &  388  &  143,0  \\ 
1692  &  370  &  149,2  \\ 
1728  &  336  &  155,7  \\ 
1764  &  248  &  162,2  \\ 
1780  &  177  &  165,2  \\ 
